from,to,,
mk,Pool,,
us,agenten,,
sf,Schwanen,,
jh,lastrada,,
ans,Vogel,,
sh,Schneider,,Pool
als,Lambsdorff,,agenten
fr,Players,,Schwanen
fd,Adam,,lastrada
ales,Inka,,Vogel
hh,Hübchen,,Schneider
js,Lambsdorff,,Lambsdorff
gg,Schneider,,Players 
lc,NA,,Adam
kms,Rudorff,,Inka 
nh,Players,,Hübchen
nk,SCHLAG,,Rudorff
cm,Lentz,,SCHLAG 
mb,Players,,Lentz 
fl,Players,,YUMI
cf,Players,,
hk,Inka,,
jb,YUMI,,
bk,SCHLAG,,
gv,NA,,
