from,to
mk,Pool
us,agenten
sf,Schwanen
jh,lastrada
ans,Vogel
sh,Schneider
als,Lambsdorff
fr,Players 
fd,Adam
ales,Inka
hh,Hübchen
js,Lambsdorff
gg,Schneider
lc,NA
kms,Rudorff
nh,Players
nk,SCHLAG 
cm,Lentz
mb,Players
fl,Players 
cf,Players 
hk,Inka 
jb,YUMI
bk,SCHLAG
gv,NA
